out_msg=None: in_msg=[src=0, dest=2, size=2, addr=384, type=GET_INSTR]: delay=0
out_msg=[src=0, dest=2, size=2, addr=384, type=GET_INSTR]: in_msg=[src=2, dest=0, size=5, addr=384, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=384, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=609728, type=GETS]: delay=10
out_msg=[src=0, dest=3, size=2, addr=609728, type=GETS]: in_msg=[src=3, dest=0, size=5, addr=609728, type=DATA_EXCLUSIVE]: delay=72
out_msg=[src=3, dest=0, size=5, addr=609728, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=3, size=2, addr=609728, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=3, dest=0, size=5, addr=609728, type=DATA_EXCLUSIVE]: in_msg=[src=0, dest=2, size=2, addr=609664, type=GETX]: delay=136
out_msg=[src=0, dest=2, size=2, addr=609664, type=GETX]: in_msg=[src=2, dest=0, size=5, addr=609664, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=609664, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=609664, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=2, dest=0, size=5, addr=609664, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=609216, type=GETX]: delay=22
out_msg=[src=0, dest=3, size=2, addr=609216, type=GETX]: in_msg=[src=3, dest=0, size=5, addr=609216, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=5, addr=609216, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=609216, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=3, dest=0, size=5, addr=609216, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=609152, type=GETX]: delay=26
out_msg=[src=0, dest=2, size=2, addr=609152, type=GETX]: in_msg=[src=2, dest=0, size=5, addr=609152, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=609152, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=609152, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=2, dest=0, size=5, addr=609152, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=39488, type=GET_INSTR]: delay=8
out_msg=[src=0, dest=1, size=2, addr=39488, type=GET_INSTR]: in_msg=[src=1, dest=0, size=5, addr=39488, type=DATA]: delay=72
out_msg=[src=1, dest=0, size=5, addr=39488, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=526208, type=GETX]: delay=14
out_msg=[src=0, dest=2, size=2, addr=526208, type=GETX]: in_msg=[src=2, dest=0, size=5, addr=526208, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=526208, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=526208, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=2, dest=0, size=5, addr=526208, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=601536, type=GETX]: delay=10
out_msg=[src=0, dest=3, size=2, addr=601536, type=GETX]: in_msg=[src=3, dest=0, size=5, addr=601536, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=5, addr=601536, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=601536, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=3, dest=0, size=5, addr=601536, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=522688, type=GETX]: delay=10
out_msg=[src=0, dest=3, size=2, addr=522688, type=GETX]: in_msg=[src=3, dest=0, size=5, addr=522688, type=DATA]: delay=72
out_msg=[src=3, dest=0, size=5, addr=522688, type=DATA]: in_msg=[src=0, dest=3, size=2, addr=522688, type=EXCLUSIVE_UNBLOCK]: delay=3
out_msg=[src=3, dest=0, size=5, addr=522688, type=DATA]: in_msg=[src=0, dest=2, size=2, addr=39552, type=GET_INSTR]: delay=100
out_msg=[src=0, dest=2, size=2, addr=39552, type=GET_INSTR]: in_msg=[src=2, dest=0, size=5, addr=39552, type=DATA]: delay=72
out_msg=[src=2, dest=0, size=5, addr=39552, type=DATA]: in_msg=[src=0, dest=1, size=2, addr=88896, type=GET_INSTR]: delay=108
out_msg=[src=0, dest=1, size=2, addr=88896, type=GET_INSTR]: in_msg=[src=1, dest=0, size=5, addr=88896, type=DATA]: delay=72
